CAS,Parameter Code,Substance,MAAC ppb,MAAC ug/m3,Time Period (hr),Type,Column1
75-07-0,43503,Acetaldehyde,28,50,24,Carcinogen,
107-13-1,43704,Acrylonitrile,0.5,1,24,Carcinogen,
Group,12103,Arsenic,,0.02,24,Carcinogen,
71-43-2,45201,Benzene,10,30,24,Carcinogen,
Group,12105,Beryllium,,0.02,24,Carcinogen,
106-99-0,43218,"1,3-Butadiene",1,3,24,Carcinogen,
Group,12110,Cadmium,,0.06,24,Carcinogen,
56-23-5,43804,Carbon tetrachloride,1,7,24,Carcinogen,
67-66-3,43803,Chloroform,0.8,4,24,Carcinogen,
Group,12112,Chromium,,0.008,24,Carcinogen,
107-06-2,43815,Ethylene dichloride*,1,4,24,Carcinogen,
50-00-0,43502,Formaldehyde,7,8,24,Carcinogen,
75-09-2,43802,Methylene chloride**,58,200,24,Carcinogen,
Group,12136,Nickel,,0.15,24,Carcinogen,
79-34-5,43818,"1,1,2,2-Tetrachloroethane",0.3,2,24,Carcinogen,
75-01-4,43860,Vinyl chloride,9,23,24,Carcinogen,
7664-41-7,,Ammonia,"2,500",1742,24,Non-Carcinogen,
100-41-4,45203,Ethylbenzene,"10,000","43,427",24,Non-Carcinogen,
Group,12132,Manganese,,50,24,Non-Carcinogen,
Group,,Mercury,,0.3,24,Non-Carcinogen,
108-88-3,45202,Toluene,"10,000",37668,24,Non-Carcinogen,
