# RD|Action Code|State Code|County Code|Site ID|Parameter|POC|Sample Duration|Unit|Method|Date|Start Time|Sample Value|Null Data Code|Sampling Frequency|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
# RC|Action Code|State Code|County Code|Site ID|Parameter|POC|Unit|Method|Year|Period|Number of Samples|Composite Type|Sample Value|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
RD|I|40|001|9009|88103|1|7|105|800|20220102|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220105|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220108|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220111|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220114|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220117|00:00|0.00000||||||||||||||.00012|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220120|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220123|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220126|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220129|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220201|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220204|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220207|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220210|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220213|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220216|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220219|00:00|0.00003||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220222|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220225|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220228|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220303|00:00||AH||||||||||||||
RD|I|40|001|9009|88103|1|7|105|800|20220306|00:00|0.00005||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220309|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220312|00:00|0.00011||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220315|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220318|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220321|00:00||AH||||||||||||||
RD|I|40|001|9009|88103|1|7|105|800|20220324|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220327|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220330|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220402|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220405|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220408|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220411|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220414|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220417|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220420|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220423|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220426|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220429|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220502|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220505|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220508|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220511|00:00|0.00000||||||||||||||.00011|.00006
RD|I|40|001|9009|88103|1|7|105|800|20220514|00:00||AN||||||||||||||
RD|I|40|001|9009|88103|1|7|105|800|20220517|00:00|0.00043||||||||||||||.00011|.00013
RD|I|40|001|9009|88103|1|7|105|800|20220520|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220523|00:00|0.00000||||||||||||||.00011|.00006
RD|I|40|001|9009|88103|1|7|105|800|20220526|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220529|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220601|00:00|0.00000||||||||||||||.00011|.00006
RD|I|40|001|9009|88103|1|7|105|800|20220604|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220607|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220610|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220613|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220616|00:00|0.00000||||||||||||||.00011|.00006
RD|I|40|001|9009|88103|1|7|105|800|20220619|00:00|0.00000||||||||||||||.00011|.00006
RD|I|40|001|9009|88103|1|7|105|800|20220622|00:00|0.00000||||||||||||||.00011|.00006
RD|I|40|001|9009|88103|1|7|105|800|20220625|00:00|0.00000||||||||||||||.00011|.00006
RD|I|40|001|9009|88103|1|7|105|800|20220628|00:00|0.00000||||||||||||||.00011|.00007
RD|I|40|001|9009|88103|1|7|105|800|20220701|00:00|0.00000||||||||||||||.00011|.00006
RD|I|40|001|9009|88103|1|7|105|800|20220704|00:00|0.00000||||||||||||||.00011|.00006
RD|I|40|001|9009|88103|1|7|105|800|20220707|00:00|0.00000||||||||||||||.00011|.00006
RD|I|40|001|9009|88103|1|7|105|800|20220710|00:00|0.00000||||||||||||||.00011|.00006
RD|I|40|001|9009|88103|1|7|105|800|20220713|00:00|0.00000||||||||||||||.0001|.00006
