# RD|Action Code|State Code|County Code|Site ID|Parameter|POC|Sample Duration|Unit|Method|Date|Start Time|Sample Value|Null Data Code|Sampling Frequency|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
# RC|Action Code|State Code|County Code|Site ID|Parameter|POC|Unit|Method|Year|Period|Number of Samples|Composite Type|Sample Value|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
RD|I|40|001|9009|88103|1|7|105|800|20200101|00:00|0.00056||||||||||||||.00022|.0002
RD|I|40|001|9009|88103|1|7|105|800|20200104|00:00|0.00004||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20200107|00:00|0.00000||||||||||||||.00022|.00014
RD|I|40|001|9009|88103|1|7|105|800|20200110|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20200113|00:00|0.00018||||||||||||||.00022|.00014
RD|I|40|001|9009|88103|1|7|105|800|20200116|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20200119|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20200122|00:00|0.00000||||||||||||||.00022|.00014
RD|I|40|001|9009|88103|1|7|105|800|20200125|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20200128|00:00|0.00000||||||||||||||.00023|.00014
RD|I|40|001|9009|88103|1|7|105|800|20200131|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20200203|00:00|0.00000||||||||||||||.00024|.00014
RD|I|40|001|9009|88103|1|7|105|800|20200206|00:00|0.00000||||||||||||||.00024|.00014
RD|I|40|001|9009|88103|1|7|105|800|20200209|00:00|0.00000||||||||||||||.00022|.00014
RD|I|40|001|9009|88103|1|7|105|800|20200212|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20200215|00:00|0.00014||||||||||||||.00022|.00014
RD|I|40|001|9009|88103|1|7|105|800|20200218|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20200221|00:00|0.00035||||||||||||||.00022|.00016
RD|I|40|001|9009|88103|1|7|105|800|20200224|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20200227|00:00|0.00027||||||||||||||.00022|.00015
RD|I|40|001|9009|88103|1|7|105|800|20200301|00:00|0.00014||||||||||||||.00022|.00014
RD|I|40|001|9009|88103|1|7|105|800|20200304|00:00|0.00030||||||||||||||.00022|.00015
RD|I|40|001|9009|88103|1|7|105|800|20200307|00:00|0.00006||||||||||||||.00023|.00014
RD|I|40|001|9009|88103|1|7|105|800|20200310|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20200313|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20200316|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20200319|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20200322|00:00|0.00000||||||||||||||.00022|.00013
RD|I|40|001|9009|88103|1|7|105|800|20200325|00:00|0.00005||||||||||||||.00022|.00013
