# RD,State Code,County Code,Site ID,Parameter Code,Parameter,Parameter Abbreviation,Parameter Alternate Name,CAS Number,POC,Sample Duration,Unit Code,Units,Method Code,Date,Start Time,Sample Value,Null Data Code,Sampling Frequency,Qualifier - 1,Qualifier - 2,Qualifier - 3,Alternate Method Detectable Limit,Makeup Sample,Standard Units,Still Valid,Round or Truncate,MAAC ppb,MAAC ug/m3,Type
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-01-04,1900-01-01,0.623,,,,,,0.00611,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-01-10,1900-01-01,0.336,,,,,,0.00599,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-01-16,1900-01-01,0.309,,,,,,0.00615,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-01-22,1900-01-01,0.28,,,,,,0.00623,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-01-28,1900-01-01,0.372,,,,,,0.006,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-02-03,1900-01-01,0.788,,,,,,0.00638,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-02-09,1900-01-01,0.21,,,,,,0.00589,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-02-15,1900-01-01,0.142,,,,,,0.00558,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-02-21,1900-01-01,0.722,,,,,,0.00623,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-02-27,1900-01-01,0.548,,,,,,0.00632,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
