Parameter,Parameter Code,Method Code (no format),Method Code,Recording Mode,Collection Description,Analysis Description,Method Type,Reference Method ID,Equivalent Method,Federal MDL,Min Value,Max Value,Digits,Round Truncate Indicator,Units
"1,1,2,2-Tetrachloroethane",43818,51,051,Intermittent,PERSONAL-PUMPS,TENAX DESORPTION GC/MS,,,,1.3,-1.3,,0,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,101,101,Intermittent,CANISTER SUBAMBIENT PRESSURE,MULTI DETECTOR GC,,,,0.004,-0.004,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,103,103,Intermittent,TENAX/SPHEROCARB-SORBENT-TRAP,HEAT DESORPTION GC-HECD,,,,0.3,-0.3,,1,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,105,105,Intermittent,CHARCOAL-TUBE-PERSONAL-PUMP,CARBON DISULFIDE DESORPTION GC-ECD,,,,0.4,-0.4,,1,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,106,106,Intermittent,CHARCOAL-TUBE-PERSONAL-PUMP,CARBON DISULFIDE DESORPTION GC-FID,,,,0.4,-0.4,,1,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,109,109,Intermittent,SS-CANISTER-SUBAMBIENT-PRESURE,GAS CHROMATOGRAPH MASS SELECTIV DET,,,,0.02,-0.02,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,110,110,Intermittent,SS-CANISTER-PRESSURIZED,GAS CHROMATOGRAPH MASS SPECTRO,,,,0.2,-0.2,,1,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,112,112,Intermittent,CHARCOAL-TUBE-PERSONAL-PUMP,HEAT DESORPTION GC-HALL,,,,0.04,-0.04,,1,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,113,113,Intermittent,SS-CANISTER-PRESSURIZED,CAPILLARY GC ITD MASS SPECTRO,,,,0.04,-0.04,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,116,116,Intermittent,MIXED SORBENT CARTRIDGE,GC/MS,,,,0.32,-0.32,,3,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,119,119,Intermittent,PERSONAL PUMP MOLECULAR SIEVE,GC/MS,,,,0.02,-0.02,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,126,126,Intermittent,SS CANISTER PRESSURIZED,CRYOGENIC PRECONCENTRATION GC/FID,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,127,127,Intermittent,6L SUBAMBIENT SS-CANISTER,INCOS 50XL GC/MS,,,,0.01,-0.01,,1,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,129,129,Intermittent,6L SUBAMBIENT SS-CANISTER,VARIAN SATURN-2 GC/MS,,,,0.01,-0.01,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,136,136,Continuous,Instrumental,ENTECH 2000 W/MS/FID,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,145,145,Intermittent,"6 L SS Canister Subamb press, passive coll",GC/Mass Spectro,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,149,149,Intermittent,6L SUBATM CANISTER,Entech Precon-  GC/FID/MSD,,,,0.4,-0.4,,1,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,150,150,Intermittent,SS 6L- PRESSURIZED CANISTER,CRYOGENIC PRECON: GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,153,153,Intermittent,Pressurized Canister,GC with Multiple Detectors,,,,0.2,-0.2,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,172,172,Intermittent,6L Pressurized Canister,Precon HP GC/MS,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,175,175,Intermittent,Passivated Canister,Cryogenic Preconcentration GC/MS,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,176,176,Intermittent,6L SUBATM SS CANISTER,ENTECH PRECONCENTRATOR GC/MS,,,,0.04,-0.04,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,210,210,Intermittent,SS 6L Pressurized Canister,Cryogenic Precon GC/MS,,,,0.04,-0.04,,3,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,211,211,Intermittent,SS Canister Subambient Pressure,Gas Chromatograph Mass Spectro,,,,0.14,-0.14,,2,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,221,221,Continuous,Preconcentrator trap/thermal desorber - no drier,CAS AirmOzone - benzene response - factor adjusted,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,222,222,Continuous,preconcentrator trap/thermal desorber - Nafion drier,CAS AirmOzone - butane response - factor adjusted,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,223,223,Continuous,preconcentrator trap/thermal desorber - no drier,CAS AirmOzone - benzene response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,224,224,Continuous,preconcentrator trap/thermal desorber - Nafion drier,CAS AirmOzone - butane response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"1,1,2,2-Tetrachloroethane",43818,225,225,Continuous,preconcentrator trap/thermal desorber - Nafion drier,PerkinElmer auto-GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
